Year,Month,FoodRec Monthly,GAR Monthly,Robot Monthly,Date,
2018,Jan,10112,800,10912,2018-12-28,
2018,Feb,7949,0,7949,2018-11-28,
2018,Mar,10295,294,10589,2018-10-28,
2018,Apr,10728,0,10728,2018-09-28,
2018,May,10996,0,10996,2018-08-28,
2018,Jun,0,0,0,2018-07-28,
2018,Jul,0,0,0,2018-06-28,
2018,Aug,0,0,0,2018-05-28,
2018,Sep,0,0,0,2018-04-28,
2018,Oct,0,0,0,2018-03-28,
2018,Nov,0,0,0,2018-02-28,
2018,Dec,0,0,0,2018-01-28,
2017,Jan,9628,520,10148,2017-12-28,
2017,Feb,8676,0,8676,2017-11-28,
2017,Mar,9673,0,9673,2017-10-28,
2017,Apr,10794,0,10794,2017-09-28,
2017,May,7336,400,7736,2017-08-28,
2017,Jun,10078,452,10530,2017-07-28,
2017,Jul,5360,1109,6469,2017-06-28,
2017,Aug,8092,4485,12577,2017-05-28,
2017,Sep,11478,4030,15508,2017-04-28,
2017,Oct,14663,3764,18427,2017-03-28,
2017,Nov,9306,7078,16384,2017-02-28,
2017,Dec,10117,1645,11762,2017-01-28,
2016,Jan,0,3216,3216,2016-12-28,
2016,Feb,485,2737,3222,2016-11-28,
2016,Mar,848,4799,5647,2016-10-28,
2016,Apr,1845,6644,8489,2016-09-28,
2016,May,0,5797,5797,2016-08-28,
2016,Jun,459,7020,7479,2016-07-28,
2016,Jul,862,10203,11065,2016-06-28,
2016,Aug,3269,10515,13784,2016-05-28,
2016,Sep,3573,10480,14053,2016-04-28,
2016,Oct,2768,10673,13441,2016-03-28,
2016,Nov,4593,10610,15202,2016-02-28,
2016,Dec,554,11809,12363,2016-01-28,
2015,Jan,3309,0,3309,2015-12-28,
2015,Feb,2262,0,2262,2015-11-28,
2015,Mar,2573,0,2573,2015-10-28,
2015,Apr,3122,0,3122,2015-09-28,
2015,May,2022,0,2022,2015-08-28,
2015,Jun,2885,575,3460,2015-07-28,
2015,Jul,2291,1847,4138,2015-06-28,
2015,Aug,2408,6738,9146,2015-05-28,
2015,Sep,2824,7754,10578,2015-04-28,
2015,Oct,4782,10892,15673,2015-03-28,
2015,Nov,4489,1246,5734,2015-02-28,
2015,Dec,9062,1104,10166,2015-01-28,
2014,Jan,1675,0,1675,2014-12-28,
2014,Feb,2134,0,2134,2014-11-28,
2014,Mar,1624,0,1624,2014-10-28,
2014,Apr,1458,0,1458,2014-09-28,
2014,May,2100,0,2100,2014-08-28,
2014,Jun,2517,251,2768,2014-07-28,
2014,Jul,1827,1418,3245,2014-06-28,
2014,Aug,2932,3828,6760,2014-05-28,
2014,Sep,2834,4136,6970,2014-04-28,
2014,Oct,2453,4692,7145,2014-03-28,
2014,Nov,2127,2466,4593,2014-02-28,
2014,Dec,7538,0,7538,2014-01-28,
2013,Jan,1301,0,1301,2013-12-28,
2013,Feb,916,0,916,2013-11-28,
2013,Mar,4163,0,4163,2013-10-28,
2013,Apr,2727,0,2727,2013-09-28,
2013,May,2751,0,2751,2013-08-28,
2013,Jun,2297,308,2604,2013-07-28,
2013,Jul,815,1344,2159,2013-06-28,
2013,Aug,702,3115,3817,2013-05-28,
2013,Sep,1435,2968,4403,2013-04-28,
2013,Oct,2498,2547,5045,2013-03-28,
2013,Nov,1614,412,2026,2013-02-28,
2013,Dec,3807,0,3807,2013-01-28,
2012,Jan,1591,0,1591,2012-12-28,
2012,Feb,1795,0,1795,2012-11-28,
2012,Mar,1290,0,1290,2012-10-28,
2012,Apr,1637,0,1637,2012-09-28,
2012,May,1827,1438,3265,2012-08-28,
2012,Jun,1792,1438,3230,2012-07-28,
2012,Jul,529,1438,1967,2012-06-28,
2012,Aug,331,1438,1769,2012-05-28,
2012,Sep,872,1438,2310,2012-04-28,
2012,Oct,1010,0,1010,2012-03-28,
2012,Nov,991,0,991,2012-02-28,
2012,Dec,7577,0,7577,2012-01-28,
2011,Jan,808,0,808,2011-12-28,
2011,Feb,331,0,331,2011-11-28,
2011,Mar,858,0,858,2011-10-28,
2011,Apr,1402,0,1402,2011-09-28,
2011,May,979,1402,2381,2011-08-28,
2011,Jun,590,1402,1992,2011-07-28,
2011,Jul,807,1402,2209,2011-06-28,
2011,Aug,6811,1402,8213,2011-05-28,
2011,Sep,1443,1402,2845,2011-04-28,
2011,Oct,983,0,983,2011-03-28,
2011,Nov,945,0,945,2011-02-28,
2011,Dec,2260,0,2260,2011-01-28,
2010,Jan,-,0,19900,2010-12-28,
2009,Feb,-,-,17300,2009-12-28,
2008,Mar,-,-,7381,2008-12-28,
